entity_id,domain,friendly_name,state,device_class,unit_of_measurement
automation.night_lights_at_midnight,automation,Night Lights at Midnight,on,,
automation.early_morning_lights_03_30,automation,Early Morning Lights (03:30),on,,
automation.exterior_led_monthly_effect,automation,Exterior LED - Monthly Effect,on,,
automation.interior_lights_off_15_minutes_after_sunrise,automation,Interior Lights Off - 15 Minutes After Sunrise,on,,
automation.humidor_plug_temperature_control,automation,Humidor Plug – Temperature Control,on,,
automation.huskers_update_last_score_test_2,automation,Huskers: Update Last Score (Test),on,,
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,on,,
automation.huskers_new_item_notifier_2,automation,Huskers: New Item Notifier,on,,
sensor.sun_next_dawn,sensor,Next dawn,unavailable,timestamp,
sensor.sun_next_dusk,sensor,Next dusk,unavailable,timestamp,
sensor.sun_next_midnight,sensor,Next midnight,unavailable,timestamp,
sensor.sun_next_noon,sensor,Next noon,unavailable,timestamp,
sensor.sun_next_rising,sensor,Next rising,unavailable,timestamp,
sensor.sun_next_setting,sensor,Next setting,unavailable,timestamp,
media_player.public_speakers,media_player,,unavailable,speaker,
media_player.living_room_display,media_player,,unavailable,,
media_player.master_bedroom_speaker,media_player,,unavailable,speaker,
media_player.office_speaker,media_player,,unavailable,speaker,
media_player.ari_s_bedroom_speaker,media_player,,unavailable,speaker,
media_player.bedroom_tv,media_player,,unavailable,,
media_player.basement_soundbar,media_player,,unavailable,speaker,
person.diego_sainz,person,diego sainz,unavailable,,
todo.shopping_list,todo,Shopping List,unavailable,,
tts.google_translate_en_com,tts,Google Translate en com,unavailable,,
sensor.sun_next_dawn_2,sensor,Next dawn,unavailable,timestamp,
sensor.sun_next_dusk_2,sensor,Next dusk,unavailable,timestamp,
sensor.sun_next_midnight_2,sensor,Next midnight,unavailable,timestamp,
sensor.sun_next_noon_2,sensor,Next noon,unavailable,timestamp,
sensor.sun_next_rising_2,sensor,Next rising,unavailable,timestamp,
sensor.sun_next_setting_2,sensor,Next setting,unavailable,timestamp,
tts.google_translate_en_com_2,tts,Google Translate en com,unavailable,,
todo.shopping_list_2,todo,Shopping List,unavailable,,
person.dad,person,dad,unavailable,,
device_tracker.diegos_ipad,device_tracker,Diego’s iPad ,unavailable,,
sensor.diegos_ipad_activity,sensor,Diego’s iPad  Activity,unavailable,,
sensor.diegos_ipad_battery_state,sensor,Diego’s iPad  Battery State,unavailable,,
sensor.diegos_ipad_connection_type,sensor,Diego’s iPad  Connection Type,unavailable,,
